[21, 63, 24, 23, 91, 16, 60, 63, 78, 77]
[21, 24, 63, 23, 91, 16, 60, 63, 78, 77]
[21, 24, 23, 63, 91, 16, 60, 63, 78, 77]
[21, 23, 24, 63, 91, 16, 60, 63, 78, 77]
[21, 23, 24, 63, 16, 91, 60, 63, 78, 77]
[21, 23, 24, 16, 63, 91, 60, 63, 78, 77]
[21, 23, 16, 24, 63, 91, 60, 63, 78, 77]
[21, 16, 23, 24, 63, 91, 60, 63, 78, 77]
[16, 21, 23, 24, 63, 91, 60, 63, 78, 77]
[16, 21, 23, 24, 63, 60, 91, 63, 78, 77]
[16, 21, 23, 24, 60, 63, 91, 63, 78, 77]
[16, 21, 23, 24, 60, 63, 63, 91, 78, 77]
[16, 21, 23, 24, 60, 63, 63, 78, 91, 77]
[16, 21, 23, 24, 60, 63, 63, 78, 77, 91]
[16, 21, 23, 24, 60, 63, 63, 77, 78, 91]
